# Mo-Nm,Mw,Mw-std,Mw-std-err,Mw-Nobs,UTC
3.543e+12,2.333,0.246,0.110,5,2013-02-07T20:35:50.06
1.001e+14,3.300,0.640,0.453,2,2013-02-07T22:58:19.61
1.191e+13,2.684,0.172,0.052,11,2013-02-08T00:54:04.81
1.477e+13,2.746,0.212,0.123,3,2013-02-08T00:56:19.11
9.524e+11,1.953,0.172,0.122,2,2013-02-08T01:35:59.23
1.114e+14,3.331,0.313,0.055,32,2013-02-08T02:47:02.96
7.584e+12,2.553,0.061,0.027,5,2013-02-08T03:00:14.89
6.246e+13,3.164,0.313,0.072,19,2013-02-08T03:19:52.73
1.141e+12,2.005,0.242,0.099,6,2013-02-08T03:31:40.19
6.721e+12,2.518,0.159,0.060,7,2013-02-08T07:38:06.47
1.331e+12,2.050,0.000,0.000,1,2013-02-09T01:02:54.39
8.694e+12,2.593,0.000,0.000,1,2013-02-09T16:03:02.34
1.533e+12,2.090,0.349,0.247,2,2013-02-10T12:48:23.39
2.578e+12,2.241,0.176,0.102,3,2013-02-10T21:40:11.38
2.286e+13,2.873,0.235,0.063,14,2013-02-12T12:26:31.59
9.849e+12,2.629,0.121,0.070,3,2013-02-13T14:08:25.98
2.086e+12,2.180,0.265,0.133,4,2013-02-16T21:36:52.44
4.809e+11,1.755,0.000,0.000,1,2013-02-17T03:11:55.80
5.647e+12,2.468,0.108,0.048,5,2013-02-17T12:06:06.74
2.307e+12,2.209,0.000,0.000,1,2013-02-17T21:44:08.17
4.870e+11,1.758,0.000,0.000,1,2013-02-18T03:46:08.14
2.279e+12,2.205,0.000,0.000,1,2013-02-19T03:29:43.25
2.312e+11,1.543,0.000,0.000,1,2013-02-21T12:09:16.63
5.835e+13,3.144,0.280,0.162,3,2013-02-21T14:29:31.23
3.061e+12,2.291,0.211,0.094,5,2013-02-22T10:34:40.38
7.563e+12,2.553,0.000,0.000,1,2013-02-23T19:16:08.73
2.259e+12,2.203,0.142,0.100,2,2013-02-24T01:02:14.00
3.184e+12,2.302,0.000,0.000,1,2013-02-24T05:56:31.48
5.788e+13,3.142,0.328,0.134,6,2013-02-24T05:59:51.32
2.679e+12,2.252,0.000,0.000,1,2013-02-24T11:25:24.28
7.233e+11,1.873,0.184,0.075,6,2013-02-26T13:24:45.84
1.362e+12,2.056,0.000,0.000,1,2013-02-28T13:55:24.85
6.608e+12,2.513,0.000,0.000,1,2013-02-28T21:43:34.41
5.997e+14,3.819,0.000,0.000,1,2013-03-01T04:02:07.34
1.702e+12,2.121,0.000,0.000,1,2013-03-01T16:46:51.54
9.723e+13,3.292,0.000,0.000,1,2013-03-01T16:47:15.67
1.316e+12,2.046,0.000,0.000,1,2013-03-01T20:50:53.65
6.977e+12,2.529,0.000,0.000,1,2013-03-01T22:14:50.30
3.392e+12,2.320,0.140,0.063,5,2013-03-04T12:32:56.29
3.382e+12,2.319,0.000,0.000,1,2013-03-04T18:28:14.31
8.518e+11,1.920,0.088,0.063,2,2013-03-05T15:09:41.39
3.469e+12,2.327,0.000,0.000,1,2013-03-05T17:35:29.83
1.700e+12,2.120,0.000,0.000,1,2013-03-06T03:20:32.21
7.636e+11,1.889,0.085,0.025,12,2013-03-08T13:42:49.58
1.012e+12,1.970,0.154,0.040,15,2013-03-08T14:20:47.92
1.822e+13,2.807,0.705,0.407,3,2013-03-09T01:10:49.56
1.382e+11,1.394,0.032,0.023,2,2013-03-14T22:50:01.47
3.171e+12,2.301,0.141,0.071,4,2013-03-15T20:36:46.02
6.163e+12,2.493,0.259,0.091,8,2013-03-15T23:04:20.01
5.018e+12,2.434,0.000,0.000,1,2013-03-16T23:53:09.45
5.122e+12,2.440,0.173,0.065,7,2013-03-17T17:34:32.38
1.377e+13,2.726,0.297,0.099,9,2013-03-17T23:41:54.58
6.825e+13,3.189,0.138,0.029,22,2013-03-19T01:25:51.04
