# Mo-Nm,Mw,Mw-std,Mw-std-err,Mw-Nobs,UTC
2.436e+12,2.224,0.190,0.095,4,2013-05-15T07:11:45.89
4.006e+12,2.369,0.262,0.083,10,2013-05-15T08:51:22.43
2.807e+12,2.265,0.186,0.093,4,2013-05-15T09:43:45.25
9.061e+12,2.605,0.101,0.058,3,2013-05-15T21:06:31.21
4.975e+12,2.431,0.145,0.084,3,2013-05-15T21:42:35.55
3.036e+12,2.288,0.155,0.070,5,2013-05-16T06:21:18.11
2.627e+12,2.246,0.182,0.091,4,2013-05-16T07:30:00.05
3.731e+13,3.015,0.122,0.086,2,2013-05-16T20:46:56.74
1.982e+12,2.165,0.199,0.115,3,2013-05-16T23:04:18.74
3.833e+12,2.356,0.142,0.071,4,2013-05-17T00:59:17.35
4.777e+12,2.419,0.061,0.043,2,2013-05-18T11:39:16.64
1.962e+12,2.162,0.189,0.109,3,2013-05-18T17:07:00.59
5.134e+12,2.440,0.197,0.099,4,2013-05-19T08:53:37.18
3.048e+12,2.289,0.139,0.080,3,2013-05-23T07:08:01.10
4.336e+12,2.391,0.200,0.089,5,2013-05-23T07:55:55.12
4.022e+11,1.703,0.029,0.020,2,2013-05-23T09:47:48.99
